,time,open,high,low,close,volume,ticker,action,action_converted,confidence,shares_held,ep_net
459,11/3/2021,37.16,37.24,35.98,36.24,18570100,SSI,-0.415166437625885,SELL_30,0.31952396035194397,93,1075214.2796800027
460,11/4/2021,36.33,38.16,36.24,37.37,24896200,SSI,-2.3835055828094482,SELL_50,0.1709272712469101,47,1075208.8006600027
461,11/5/2021,37.63,37.72,37.2,37.29,14206300,SSI,0.17634427547454834,BUY_20,0.1808508038520813,14440,1094743.685690003
462,11/8/2021,37.63,39.07,37.46,38.68,31640500,SSI,0.03376328945159912,HOLD,0.2177070826292038,21371,1090628.814610003
463,11/9/2021,38.68,38.94,38.07,38.5,16144000,SSI,-0.6270725131034851,SELL_50,0.3678145408630371,10686,1093957.542110003
464,11/10/2021,38.68,39.72,38.5,38.85,19738700,SSI,-1.8356244564056396,SELL_50,0.2982899248600006,5343,1091185.326560003
465,11/11/2021,38.89,39.55,37.59,38.37,24636000,SSI,0.36579179763793945,BUY_30,0.14061857759952545,16890,1097329.368170003
466,11/12/2021,38.59,39.29,38.29,38.76,12313600,SSI,-0.3313145637512207,SELL_30,0.30581772327423096,8445,1105869.289970003
467,11/15/2021,39.55,40.68,39.2,39.81,28456000,SSI,-0.9781656861305237,SELL_50,0.3970503807067871,4223,1101816.0521500031
468,11/16/2021,39.29,39.85,38.68,38.89,16351800,SSI,-1.213579535484314,SELL_50,0.39535462856292725,2112,1103761.4753600033
469,11/17/2021,38.94,40.2,38.76,39.85,19988000,SSI,-0.285625159740448,SELL_20,0.2908855080604553,1056,1106655.0737600033
470,11/18/2021,42.07,42.63,40.85,42.63,40958900,SSI,-1.9154863357543945,SELL_50,0.28165096044540405,528,1106379.1251200032
471,11/19/2021,43.46,44.15,39.72,42.15,31044500,SSI,-1.0436546802520752,SELL_50,0.39865952730178833,264,1106391.7575200035
472,11/22/2021,42.15,43.37,41.63,42.24,20365200,SSI,-1.4569967985153198,SELL_50,0.37177786231040955,132,1106776.9018400032
473,11/23/2021,41.98,45.2,41.63,45.2,37416800,SSI,-0.09490948915481567,HOLD,0.24521304666996002,66,1106842.5586400034
474,11/24/2021,46.07,47.28,45.8,46.24,23397200,SSI,-0.2716560959815979,SELL_20,0.2873955965042114,33,1106892.5127200033
475,11/25/2021,46.33,48.24,45.89,47.8,25420300,SSI,-0.9218963384628296,SELL_50,0.3938896656036377,17,1106869.6479200034
476,11/26/2021,47.54,48.15,46.07,46.5,30833000,SSI,0.2533280849456787,BUY_20,0.16366910934448242,11910,1124896.2234200034
477,11/29/2021,45.63,48.15,45.63,48.06,29749300,SSI,-1.0656635761260986,SELL_50,0.39893877506256104,5955,1127766.1761200035
478,11/30/2021,49.37,50.15,47.8,48.59,23961600,SSI,-1.9335048198699951,SELL_50,0.27662935853004456,2978,1125804.9436900036
479,12/1/2021,48.24,48.85,47.02,47.98,23255800,SSI,-2.5429186820983887,SELL_50,0.13682353496551514,1489,1124170.0514700036
480,12/2/2021,47.8,48.5,46.93,46.93,21243400,SSI,-1.3830711841583252,SELL_50,0.38112959265708923,745,1121870.3355500037
481,12/3/2021,47.02,47.28,43.89,43.89,44930900,SSI,-1.8890247344970703,SELL_50,0.2878769040107727,373,1122018.1284700038
482,12/6/2021,43.98,45.46,42.59,44.33,31273800,SSI,-1.1957741975784302,SELL_50,0.39634111523628235,187,1122204.3630900036
483,12/7/2021,45.2,45.63,44.15,45.37,15874100,SSI,-0.4921973943710327,SELL_30,0.33535438776016235,94,1122167.2436800036
484,12/8/2021,45.63,45.98,45.02,45.02,13008700,SSI,-2.0841867923736572,SELL_50,0.24132733047008514,47,1122246.9077400037
485,12/9/2021,44.33,46.76,44.33,46.76,16383100,SSI,-0.676965594291687,SELL_50,0.3675914704799652,24,1122229.2722600037
486,12/10/2021,46.67,46.76,45.72,46.07,13984900,SSI,-1.3637845516204834,SELL_50,0.3833666443824768,12,1122232.7994200038
487,12/13/2021,46.24,46.93,45.46,46.41,15527800,SSI,-1.5716415643692017,SELL_50,0.3537995219230652,6,1122228.860960004
488,12/14/2021,46.33,46.85,45.72,45.8,14532300,SSI,-0.13433390855789185,SELL_20,0.2547260522842407,3,1122226.143560004
489,12/15/2021,45.63,46.15,44.94,44.94,13911100,SSI,-1.75172758102417,SELL_50,0.31870368123054504,2,1122224.6986200039
490,12/16/2021,45.11,45.2,43.89,44.24,22318500,SSI,-0.49219954013824463,SELL_30,0.3353375196456909,1,1122226.0443800038
491,12/17/2021,44.33,45.98,44.24,45.63,16143000,SSI,-1.574809193611145,SELL_50,0.35324975848197937,1,1122226.914380004
492,12/20/2021,45.63,47.37,45.28,46.5,18584000,SSI,-0.8771612644195557,SELL_50,0.3906940221786499,1,1122226.0443800038
